评论人,评论时间,评论内容,点赞数,二级评论人,二级评论时间,二级评论内容,二级评论点赞数
花香满径,7月前,飞书真的好用吗？,1,,,,
"花香满径
...",7月前·江西,飞书真的好用吗？,1,魃職,7月前·浙江,好用，半夜还能开会,4.0
"花香满径
...",7月前·江西,飞书真的好用吗？,1,現在是 幻想時刻,7月前·广东,,0.0
雾漫过山川,7月前,飞书是什么软件，花钱吗,5,,,,
"雾漫过山川
...",7月前·山东,飞书是什么软件，花钱吗,5,简单简爱,7月前·天津,很多东西先期都不花钱 后期。。。,0.0
"雾漫过山川
...",7月前·山东,飞书是什么软件，花钱吗,5,石屹節公社首席藝術家冯小胖,7月前·新疆,疫情单位让在上面报体温计和身体症候,0.0
花生好吃,7月前,我也想问 飞书是干嘛的,8,,,,
"花生好吃
...",7月前·江苏,我也想问 飞书是干嘛的,8,不迟,7月前·四川,微信钉钉腾讯文档还有办公软件的结合体,0.0
"花生好吃
...",7月前·江苏,我也想问 飞书是干嘛的,8,蓝心羽绒,7月前·河南,办公的聊天软件。功能收费的。自己可以看到都有哪些人看了你的消息。已读不回不存在,0.0
"花生好吃
...",7月前·江苏,我也想问 飞书是干嘛的,8,Jay,7月前·浙江,和钉钉差不多,1.0
无副作用.,7月前,飞书是啥,10,,,,
"无副作用.
...",7月前·山东,飞书是啥抖音版的钉钉吗,10,佚名,7月前·内蒙古,打工人的钉钉超级加强版,1.0
"无副作用.
...",7月前·山东,飞书是啥抖音版的钉钉吗,10,屑屑你,7月前·重庆,,0.0
以琳,7月前,飞书是什么,3,,,,
"以琳
...",7月前·江西,飞书是什么,3,鹤plus,7月前·湖北,抖音的母公司，字节跳动自己出的一种员工微信，类似钉钉。牛马助手,1.0
"以琳
...",7月前·江西,飞书是什么,3,莆田壹号档口,7月前·浙江,牛马自动化软件,0.0
挽星,7月前,不错，干什么用的,9,,,,
"挽星
...",7月前·河北,不错，干什么用的,9,相逢何必曾相识,7月前·山西,牛马的紧箍咒,0.0
"挽星
...",7月前·河北,不错，干什么用的,9,@Yuuuuuuu,7月前·河南,类似于钉钉,2.0
"挽星
...",7月前·河北,不错，干什么用的,9,灯登等邓,7月前·广东,打工用的,0.0
磊子,7月前,企业微信不行吗,7,,,,
"磊子
...",7月前·山东,企业微信不行吗,7,JJ.,7月前·上海,两个一起用，企业微信用来发邮件,1.0
"磊子
...",7月前·山东,企业微信不行吗,7,壹葉之秋,7月前·四川,楼主比较专业，懂得多,1.0
"磊子
...",7月前·山东,企业微信不行吗,7,Movingstar,7月前·河北,企业微信好用，但是贵。,0.0
玄霜,7月前,什么是飞书,2,,,,
~事事如意~,7月前,不懂就问：飞书是什么？？？,28,,,,
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,渐晚ག,7月前·四川,遇到正解了,0.0
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,一禅老和尚,7月前·北京,类似于钉钉,1.0
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,林可,7月前·湖北,一个app,0.0
"~事事如意~
...",7月前·北京,不懂就问：飞书是什么？？？,28,芒 果 鲨,7月前·广东,办公软件,0.0
七星璨璨凝流光,7月前,怎么收费的？,0,,,,
憶,7月前,飞书是干嘛用的,35,,,,
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,黎小明,7月前·山东,便于老板管你的,1.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,我愛白,7月前·浙江,企业员工沟通也在用，我们公司就用的飞书,2.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,保持热爱*奔赴山海,7月前·天津,领导监视你的,2.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,阿定制,7月前·北京,你知道上班第一件事要干嘛吗,1.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,王祥,7月前·山东,字节的办公软件,0.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,路口等,7月前·福建,从蛹破茧而出的瞬间，是撕掉一层皮的痛苦彻心彻肺很多蝴蝶都是在破茧而出的那一刻被痛得死掉了。,0.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,憶,7月前·内蒙古,好吧,0.0
"憶
...",7月前·内蒙古,飞书是干嘛用的,35,星河,7月前·河南,跟钉钉差不多,3.0
貓丶爺,7月前,我只有一个问题,31,,,,
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,怷🫡,7月前·云南,哈哈哈,0.0
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,用户0650740921279,7月前·云南,安卓没税？鸿蒙没税？天真,1.0
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,無冰凍檸愛好者,7月前·中国香港,你倒是找给我看啊,2.0
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,暗物质甜甜圈∂♬,7月前·内蒙古,,0.0
桔子柚,7月前,飞书是什么软件,8,,,,
"桔子柚
...",7月前·福建,飞书是什么软件,8,二五一十,7月前·山东,跟钉钉，企业微信差不多,0.0
"桔子柚
...",7月前·福建,飞书是什么软件,8,二五一十,7月前·山东,工作软件,0.0
子遇十八,7月前,看完了没搞懂什么意思,21,,,,
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,天涯客、赤子心,7月前·浙江,钉钉差不多,0.0
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,黯然烧鸭饭,7月前·广东,俺也一样,0.0
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,李世阳,7月前·河北,先是大家一通吹，你好奇看看就明白了，,1.0
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,天涯~,7月前·辽宁,,0.0
松鼠青年,7月前,飞书，适合小群体使用么？,53,,,,
"松鼠青年
...",7月前·辽宁,飞书，适合小群体使用么？,53,爱吃包菜、（想玩洛克王国抽不到资格发疯）,7月前·甘肃,坏了 懂了,1.0
"松鼠青年
...",7月前·辽宁,飞书，适合小群体使用么？,53,石金水,7月前·四川,用的少就合适,0.0
"松鼠青年
...",7月前·辽宁,飞书，适合小群体使用么？,53,茶色眸,7月前·广东,不适合，适合在商场工作的员工用的，比如我刚从沃尔玛兼职了两个月,2.0
"松鼠青年
...",7月前·辽宁,飞书，适合小群体使用么？,53,152上班换钱上班了,7月前·河南,。,0.0
"松鼠青年
...",7月前·辽宁,飞书，适合小群体使用么？,53,用户898888085475,7月前·上海,,0.0
"松鼠青年
...",7月前·辽宁,飞书，适合小群体使用么？,53,愧不fou,7月前·浙江,打个电话拉个群视频不如微信直来直去，这个更适合复杂人多工作要分清楚的公司,2.0
小燕燕,7月前,飞书真的很难用,0,,,,
园园,7月前,到底是干啥用的呢,4,,,,
"园园
...",7月前·河北,到底是干啥用的呢,4,MAMAT,7月前·新疆,这个是企业员工聊天软件，所有人可以一起聊天,0.0
"园园
...",7月前·河北,到底是干啥用的呢,4,雄性激素旺盛,7月前·广东,正经人谁一下班还和同事聊天,2.0
"园园
...",7月前·河北,到底是干啥用的呢,4,MAMAT,7月前·新疆,你可以不聊，但是老板让你聊你聊不聊,0.0
"园园
...",7月前·河北,到底是干啥用的呢,4,Fovever｀,7月前·四川,不知道啊,0.0
"园园
...",7月前·河北,到底是干啥用的呢,4,滞空,7月前·宁夏,,0.0
顺其自然,7月前,飞书是什么,1,,,,
周周短剧场,7月前,飞书是做什么的，怎么用,1,,,,
日落就像荷包蛋,7月前,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,21,,,,
"日落就像荷包蛋
...",7月前·四川,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,21,点头yes摇头no,7月前·广东,飞书之前成员1000人，别的公司大部分只有3/1以下，虽然现在裁了很多,1.0
"日落就像荷包蛋
...",7月前·四川,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,21,日落就像荷包蛋,7月前·四川,和人数无关，就是里面那个图表功能，很多程序员就搞不定,0.0
网友,7月前,收费不,17,,,,
"网友
...",7月前·湖南,收费不,17,￴￴ ￴￴ ￴￴ ￴￴￴ ￴￴ ￴,7月前·重庆,朝 b 端收费,1.0
"网友
...",7月前·湖南,收费不,17,大美女,7月前·河南,,0.0
"网友
...",7月前·湖南,收费不,17,Cunese,7月前·安徽,免费,0.0
35140055187,7月前,会取代微信吗,8,,,,
"35140055187
...",7月前·贵州,会取代微信吗,8,胖大大大大大大大大大大大大大大大大大大星,7月前·新疆,先把已读和加急删了再说,3.0
"35140055187
...",7月前·贵州,会取代微信吗,8,ɪᴅᴇᴀʟᴊᴀɴ,7月前·山西,这是工作上班用的,1.0
"35140055187
...",7月前·贵州,会取代微信吗,8,天听亭,7月前·河北,想什么呢,1.0
"35140055187
...",7月前·贵州,会取代微信吗,8,星河,7月前·河南,会的，,1.0
在路边捡垃圾吃,7月前,诺兰版蝙蝠侠里的黑人管家?,6,,,,
"在路边捡垃圾吃
...",7月前·四川,诺兰版蝙蝠侠里的黑人管家?,6,落灯雨,7月前·北京,他包是没看过的,0.0
"在路边捡垃圾吃
...",7月前·四川,诺兰版蝙蝠侠里的黑人管家?,6,在路边捡垃圾吃,7月前·四川,摩根弗里曼:原来我演的是个管家,0.0
玛卡巴卡,7月前,有脸书好用吗？,5,,,,
"玛卡巴卡
...",7月前·重庆,有脸书好用吗？,5,I’m Rye,7月前·山东,哥们，性质不一样,1.0
"玛卡巴卡
...",7月前·重庆,有脸书好用吗？,5,大宝天天见,7月前·四川,这是办公的，不是纯社交的,0.0
冬茗,7月前,我好像…看见小 A 了,81,,,,
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,火焰剑领主,7月前·陕西,是的,5.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,MEIKANCHOIBOX,7月前·陕西,小a我是真佩服 这转型太牛批了,3.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,制冷设备,7月前·广东,以前是跳舞女主播吗,2.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,MEIKANCHOIBOX,7月前·陕西,对,1.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,冬茗,7月前·山西,人家本来就只是玩玩而已，你还真当真了,1.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,༒,7月前·浙江,怎么可能只是玩玩的,1.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,MEIKANCHOIBOX,7月前·陕西,当真的不是我 我又不是她粉丝,0.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,冬茗,7月前·山西,我说跳舞,0.0
"冬茗
...",7月前·山西,我好像…看见小 A 了,81,冬茗,7月前·山西,她讲财经之前我都不认识她,0.0
月亮熄灭了,7月前,,0,,,,
"月亮熄灭了
...",7月前·江苏,@butterfly effect @TriPonti 以后用飞书聊天,0,butterfly effect,7月前·江苏,飞书也是走起来了,0.0
"月亮熄灭了
...",7月前·江苏,@butterfly effect @TriPonti 以后用飞书聊天,0,消耗一下,7月前·上海,,2.0
"月亮熄灭了
...",7月前·江苏,@butterfly effect @TriPonti 以后用飞书聊天,0,△,7月前·上海,我没意见,1.0
卖窗帘的小姐姐,7月前,飞书是什么，谁来解释一下,13,,,,
"卖窗帘的小姐姐
...",7月前·四川,飞书是什么，谁来解释一下,13,朱波会咬打火机吗,7月前·河北,办公软件,0.0
我是小虎牙。,7月前,飞书是啥,0,,,,
陈哥,7月前,好是好如果真的把他变成现实！真的把飞书变成现实！我们的太脑理面会清空！那个时候我的太脑就达到了无话可说了！,22,,,,
"陈哥
...",7月前·江苏,好是好如果真的把他变成现实！真的把飞书变成现实！我们的太脑理面会清空！那个时候我的太脑就达到了无话可说了！,22,用户7429436228431,7月前·广西,,0.0
小草,7月前,飞书是什么？,6,,,,
"小草
...",7月前·云南,飞书是什么？,6,LUFFY,7月前·黑龙江,我也不知道,0.0
顺其自然,7月前,飞书有什么用途？,12,,,,
"顺其自然
...",7月前·重庆,飞书有什么用途？,12,A-天道酬勤,7月前·陕西,办公管理软件,0.0
睡不戳,7月前,飞书我觉得可以取代企业微信,7,,,,
"睡不戳
...",7月前·四川,飞书我觉得可以取代企业微信,7,Violet,7月前·山东,不，飞书太乱了，我都用过，真比不过企业微信，简洁直观,0.0
阿文。,7月前,飞书是啥？,0,,,,
初晨,7月前,抖音内部软件,18,,,,
"初晨
...",7月前·辽宁,抖音内部软件可是微信已经是主流了,18,A-天道酬勤,7月前·陕西,公司管理用飞书更系统化一些  日常聊天哪有用这玩意的,4.0
无声拥抱,7月前,飞书是干嘛的,7,,,,
"无声拥抱
...",7月前·内蒙古,飞书是干嘛的,7,只是她妈不同意,7月前·四川,和叮叮差不多，字节的办公软件,2.0
曲塘媱姬堂温灸肩颈面部,7月前,会取代微信吗？,8,,,,
@笑笑@,7月前,讨厌飞书，没完没了的工作安排,0,,,,
