评论人,评论时间,评论内容,点赞数,二级评论人,二级评论时间,二级评论内容,二级评论点赞数
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,無冰凍檸愛好者,7月前·中国香港,你倒是找给我看啊,2.0
"貓丶爺
...",7月前·云南,我只有一个问题飞书交不交苹果税,31,暗物质甜甜圈∂♬,7月前·内蒙古,,0.0
"桔子柚
...",7月前·福建,飞书是什么软件,8,二五一十,7月前·山东,跟钉钉，企业微信差不多,0.0
"桔子柚
...",7月前·福建,飞书是什么软件,8,二五一十,7月前·山东,工作软件,0.0
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,天涯客、赤子心,7月前·浙江,钉钉差不多,0.0
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,黯然烧鸭饭,7月前·广东,俺也一样,0.0
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,李世阳,7月前·河北,先是大家一通吹，你好奇看看就明白了，,1.0
"子遇十八
...",7月前·广东,看完了没搞懂什么意思,21,天涯~,7月前·辽宁,,0.0
"园园
...",7月前·河北,到底是干啥用的呢,4,MAMAT,7月前·新疆,这个是企业员工聊天软件，所有人可以一起聊天,0.0
"园园
...",7月前·河北,到底是干啥用的呢,4,雄性激素旺盛,7月前·广东,正经人谁一下班还和同事聊天,2.0
"园园
...",7月前·河北,到底是干啥用的呢,4,MAMAT,7月前·新疆,你可以不聊，但是老板让你聊你聊不聊,0.0
"园园
...",7月前·河北,到底是干啥用的呢,4,Fovever｀,7月前·四川,不知道啊,0.0
"园园
...",7月前·河北,到底是干啥用的呢,4,滞空,7月前·宁夏,,0.0
"日落就像荷包蛋
...",7月前·四川,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,21,点头yes摇头no,7月前·广东,飞书之前成员1000人，别的公司大部分只有3/1以下，虽然现在裁了很多,1.0
"日落就像荷包蛋
...",7月前·四川,感觉飞书的程序员都好优秀啊，很多功能是其他小公司实现不了的，或者说是他们懒得做,21,日落就像荷包蛋,7月前·四川,和人数无关，就是里面那个图表功能，很多程序员就搞不定,0.0
"网友
...",7月前·湖南,收费不,17,￴￴ ￴￴ ￴￴ ￴￴￴ ￴￴ ￴,7月前·重庆,朝 b 端收费,1.0
"网友
...",7月前·湖南,收费不,17,大美女,7月前·河南,,0.0
"网友
...",7月前·湖南,收费不,17,Cunese,7月前·安徽,免费,0.0
"35140055187
...",7月前·贵州,会取代微信吗,8,ɪᴅᴇᴀʟᴊᴀɴ,7月前·山西,这是工作上班用的,1.0
"35140055187
...",7月前·贵州,会取代微信吗,8,天听亭,7月前·河北,想什么呢,1.0
"35140055187
...",7月前·贵州,会取代微信吗,8,星河,7月前·河南,会的，,1.0
"在路边捡垃圾吃
...",7月前·四川,诺兰版蝙蝠侠里的黑人管家?,6,落灯雨,7月前·北京,他包是没看过的,0.0
"在路边捡垃圾吃
...",7月前·四川,诺兰版蝙蝠侠里的黑人管家?,6,在路边捡垃圾吃,7月前·四川,摩根弗里曼:原来我演的是个管家,0.0
"玛卡巴卡
...",7月前·重庆,有脸书好用吗？,5,I’m Rye,7月前·山东,哥们，性质不一样,1.0
"玛卡巴卡
...",7月前·重庆,有脸书好用吗？,5,大宝天天见,7月前·四川,这是办公的，不是纯社交的,0.0
"月亮熄灭了
...",7月前·江苏,@butterfly effect @TriPonti 以后用飞书聊天,0,butterfly effect,7月前·江苏,飞书也是走起来了,0.0
"月亮熄灭了
...",7月前·江苏,@butterfly effect @TriPonti 以后用飞书聊天,0,消耗一下,7月前·上海,,2.0
"月亮熄灭了
...",7月前·江苏,@butterfly effect @TriPonti 以后用飞书聊天,0,△,7月前·上海,我没意见,1.0
"卖窗帘的小姐姐
...",7月前·四川,飞书是什么，谁来解释一下,13,朱波会咬打火机吗,7月前·河北,办公软件,0.0
"陈哥
...",7月前·江苏,好是好如果真的把他变成现实！真的把飞书变成现实！我们的太脑理面会清空！那个时候我的太脑就达到了无话可说了！,22,用户7429436228431,7月前·广西,,0.0
"小草
...",7月前·云南,飞书是什么？,6,LUFFY,7月前·黑龙江,我也不知道,0.0
"顺其自然
...",7月前·重庆,飞书有什么用途？,12,A-天道酬勤,7月前·陕西,办公管理软件,0.0
"睡不戳
...",7月前·四川,飞书我觉得可以取代企业微信,7,Violet,7月前·山东,不，飞书太乱了，我都用过，真比不过企业微信，简洁直观,0.0
"无声拥抱
...",7月前·内蒙古,飞书是干嘛的,7,只是她妈不同意,7月前·四川,和叮叮差不多，字节的办公软件,2.0
